Sample ID,group,run_date,Intensity,Corrected Intensity,Sample DF,Extract V (ml),Filtration V (mL),Extract DF,Extract [Fe] (?g/L), Sample [Fe] (?g/L),cal_curve_r2,lod_ugL_sample,loq_ugL_sample
20240918_L227_INTFE_R1_65,red,2024-11-01,364.26,364.24,1,20,65,0.307692308,105.7507237,32.5386842,0.994787969,36.08030534,120.2676845
20240918_L227_INTFE_R2_60,red,2024-11-07,391.33,391.31,1,20,60,0.333333333,111.3189151,37.10630503,0.994787969,36.08030534,120.2676845
20240918_L227_INTFE_R3_80,red,2024-11-07,667.52,667.5,1,20,80,0.25,168.1301008,42.03252519,0.994787969,36.08030534,120.2676845
20240918_L227_PARTFE_R1_65,red,2024-11-07,720.8,720.78,1,20,65,0.307692308,179.0895851,55.10448772,0.994787969,36.08030534,120.2676845
20240918_L227_PARTFE_R2_71,red,2024-11-07,943.32,943.3,1,20,71,0.281690141,224.861065,63.34114506,0.994787969,36.08030534,120.2676845
20240924_L114_INTFE_R1_100,red,2024-11-07,484.79,484.77,1,20,100,0.2,130.5432658,26.10865315,0.994787969,36.08030534,120.2676845
20240924_L114_INTFE_R2_80,red,2024-11-07,452.24,452.22,1,20,80,0.25,123.8478601,30.96196502,0.994787969,36.08030534,120.2676845
20240924_L114_INTFE_R3_75,red,2024-11-07,484.7,484.68,1,20,75,0.266666667,130.5247531,34.80660083,0.994787969,36.08030534,120.2676845
20240924_L114_PARTFE_R1_100,red,2024-11-07,872.08,872.06,1,20,100,0.2,210.20728,42.041456,0.994787969,36.08030534,120.2676845
20240924_L114_PARTFE_R2_65,red,2024-11-07,589.63,589.61,1,20,65,0.307692308,152.1084372,46.80259607,0.994787969,36.08030534,120.2676845
20240924_L303_INTFE_R1_65,red,2024-11-07,304.63,304.61,1,20,65,0.307692308,93.48506957,28.76463679,0.994787969,36.08030534,120.2676845
20240924_L303_INTFE_R2_66,red,2024-11-07,406.81,406.79,1,20,66,0.303030303,114.5030896,34.69790594,0.994787969,36.08030534,120.2676845
20240924_L303_INTFE_R3_61,red,2024-11-07,349.82,349.8,1,20,61,0.327868852,102.780473,33.69851575,0.994787969,36.08030534,120.2676845
20240924_L303_PARTFE_R1_65,red,2024-11-07,586.94,586.92,1,20,65,0.307692308,151.5551149,46.63234305,0.994787969,36.08030534,120.2676845
20240924_L303_PARTFE_R2_65,red,2024-11-07,498.13,498.11,1,20,65,0.307692308,133.2872508,41.01146178,0.994787969,36.08030534,120.2676845
20240924_L304_INTFE_R1_100,red,2024-11-07,2317.85,2317.83,1,20,100,0.2,507.5964248,101.519285,0.994787969,36.08030534,120.2676845
20240924_L304_INTFE_R2_100,red,2024-11-07,2140.27,2140.25,1,20,100,0.2,471.0689243,94.21378487,0.994787969,36.08030534,120.2676845
20240924_L304_INTFE_R3_65,red,2024-11-07,1358.81,1358.79,1,20,65,0.307692308,310.3257072,95.48483298,0.994787969,36.08030534,120.2676845
20240924_L304_PARTFE_R1_100,red,2024-11-07,4549.6,4549.58,1,20,100,0.2,966.6585328,193.3317066,0.994787969,36.08030534,120.2676845
20240924_L304_PARTFE_R2_79,red,2024-11-07,3071.06,3071.04,1,20,79,0.253164557,662.5287292,167.7287922,0.994787969,36.08030534,120.2676845
20240922_L239_INTFE_R1_150,red,2024-11-07,609.96,609.94,1,20,150,0.133333333,156.2902375,20.83869833,0.994787969,36.08030534,120.2676845
20240922_L239_INTFE_R2_200,red,2024-11-07,200.24,200.22,1,20,200,0.1,72.01246133,7.201246133,0.994787969,36.08030534,120.2676845
