date,sample_id,station,type,target_depth,Fe2+ (mg/L),notes
2024-05-27,L303_1.1_0.5_R1,,0.5,0.5,0,
2024-05-27,L303_1.1_0.5_R2,,0.5,0.5,NA,
2024-05-27,L303_1.1_SWI_R1,,SWI,,-0.009,
2024-05-27,L303_1.1_SWI_R2,,SWI,,-0.009,
2024-05-27,L303_1.2_0.5_R1,,0.5,0.5,0.037,
2024-05-27,L303_1.2_0.5_R2,,0.5,0.5,NA,
2024-05-27,L303_1.2_SWI_R1,,SWI,,0.009,
2024-05-27,L303_1.2_SWI_R2,,SWI,,0.02,
2024-05-27,L303_1.3_0.5_R1,,0.5,0.5,0.043,
2024-05-27,L303_1.3_0.5_R2,,0.5,0.5,0.037,
2024-05-27,L303_1.3_SWI_R1,,SWI,,0.004,
2024-05-27,L303_1.3_SWI_R2,,SWI,,0.056,
2024-05-27,L303_1.4_0.5_R1,,0.5,0.5,0.007,
2024-05-27,L303_1.4_0.5_R2,,0.5,0.5,0.007,
2024-05-27,L303_1.4_SWI_R1,,SWI,,0.01,
2024-05-27,L303_1.4_SWI_R2,,SWI,,-0.006,
2024-05-27,L303_2.1_0.5_R1,,0.5,0.5,0.02,
2024-05-27,L303_2.1_0.5_R2,,0.5,0.5,0.02,
2024-05-27,L303_2.1_SWI_R1,,SWI,,NA,
2024-05-27,L303_2.1_SWI_R2,,SWI,,0.027,
2024-05-27,L303_2.2_0.5_R1,,0.5,0.5,0.037,
2024-05-27,L303_2.2_0.5_R2,,0.5,0.5,0.033,
2024-05-27,L303_2.2_SWI_R1,,SWI,,0.004,
2024-05-27,L303_2.2_SWI_R2,,SWI,,-0.003,
2024-05-27,L303_2.3_0.5_R1,,0.5,0.5,0.007,
2024-05-27,L303_2.3_0.5_R2,,0.5,0.5,0.027,
2024-05-27,L303_2.3_SWI_R1,,SWI,,0.017,
2024-05-27,L303_2.3_SWI_R2,,SWI,,NA,
2024-05-27,L303_2.4_0.5_R1,,0.5,0.5,0.046,
2024-05-27,L303_2.4_0.5_R2,,0.5,0.5,0.023,
2024-05-27,L303_2.4_SWI_R1,,SWI,,0.023,
2024-05-27,L303_2.4_SWI_R2,,SWI,,0.007,
2024-05-27,L303_2.5_0.5_R1,,0.5,0.5,0.112,
2024-05-27,L303_2.5_0.5_R2,,0.5,0.5,0.007,
2024-05-27,L303_2.5_SWI_R1,,SWI,,-0.006,
2024-05-27,L303_2.5_SWI_R2,,SWI,,0.014,
2024-05-27,L303_2.6_0.5_R1,,0.5,0.5,0.04,
2024-05-27,L303_2.6_0.5_R2,,0.5,0.5,0.046,
2024-05-27,L303_2.6_SWI_R1,,SWI,,-0.009,
2024-05-27,L303_2.6_SWI_R2,,SWI,,0,
2024-05-27,L303_2.7_0.5_R1,,0.5,0.5,0.046,
2024-05-27,L303_2.7_0.5_R2,,0.5,0.5,0.053,
2024-05-27,L303_2.7_SWI_R1,,SWI,,0.01,
2024-05-27,L303_2.7_SWI_R2,,SWI,,0,
2024-06-03,L303_1.1_0.5_R1,,0.5,0.5,0.055,
2024-06-03,L303_1.1_0.5_R2,,0.5,0.5,0.059,
2024-06-03,L303_1.1_SWI_R1,,SWI,,0.028,
2024-06-03,L303_1.1_SWI_R2,,SWI,,0.035,
2024-06-03,L303_1.2_0.5_R1,,0.5,0.5,0.062,
2024-06-03,L303_1.2_0.5_R2,,0.5,0.5,0.065,
2024-06-03,L303_1.2_SWI_R1,,SWI,,0.113,
2024-06-03,L303_1.2_SWI_R2,,SWI,,0.1,
2024-06-03,L303_1.3_0.5_R1,,0.5,0.5,0.131,
2024-06-03,L303_1.3_0.5_R2,,0.5,0.5,0.12,
