SampleNumber,Site,Start Depth (m),End Depth (m),CollectDate,Test,Param,Result,Results_Units,RepLimit,Instrument,Results_Method,AnalysisEmployee,AnalysisTime,Comments
2024010803-01,114 LA CB 1m,,,1/8/2024,Anions,Cl,0.25,mg/L,0.01,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/15/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,Anions,SO4,1.3,mg/L,0.06,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/15/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,Archive,Archive,,,,,ELA-Archive,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Fe,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,K,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Mg,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Mn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Mo,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Na,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Cations,Zn,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Chla,Chla,7.03,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,DIC,DIC,199,µmol/L,3.04,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,pbulloch,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,DOC,DOC,,µmol/L,,Elementar Enviro-TOC,ELA-DOC,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Filtration,Volume filtered,,mL,,,ELA-Filtration,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,NH3,NH3-N,54,µg/L,4,AutoAnalyzer 3,ELA-NOxNH3,bcooney,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,NO2,NO2-N,0.4,µg/L,0.2,AutoAnalyzer 3,ELA-NOxNH3,bcooney,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,NO3,NO3-N,11,µg/L,1,AutoAnalyzer 3,ELA-NOxNH3,bcooney,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,Part C/N,Part C,,µg/L,,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Part C/N,Part N,,µg/L,10,Elementar UNICUBE Organic Elemental Analyzer,ELA-PartCN,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,Part P,Part P,10,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer,ELA-PartP,cleclerc,7/25/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,pH,pH,5.99,SU,,Fisher Scientific Accumet pH meter,ELA-pH,pbulloch,1/8/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,Phytoplankton taxonomy,Total Biomass,,mg/m^3,1,Zeiss invertoscope inverted microscope,ELA-Phytoplankton taxonomy,,,
2024010803-01,114 LA CB 1m,,,1/8/2024,SRSi,SRSi,0.459,mg/L,0.003,Shimadzu UV1800 Scanning Spectrophotometer,ELA-SRSi,cleclerc,7/11/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,TDN,TDN,376,µg/L,12,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,1/9/2024 2:00:00 AM,
2024010803-01,114 LA CB 1m,,,1/8/2024,TDP,TDP,2.1,µg/L,0.4,AutoAnalyzer 3,ELA-TDN/TDP,bcooney,1/9/2024 2:00:00 AM,
2024010803-03,114 LA CB PE,,,1/8/2024,Zooplankton taxonomy,Total Biomass,,,,Zeiss invertoscope inverted microscope,ELA-Single barrel,,,
2024010803-04,114 LA CB PE,,,1/8/2024,Zooplankton archive,13C,,,,53-µm Zoonet,ELA-Single barrel,,,
2024032003-01,114 LA CB 1m,,,3/20/2024,Alk,Alk,85.6,µEq/L,,MANTECH MT-100,ELA-MT100,pbulloch,3/20/2024 2:00:00 AM,
2024032003-01,114 LA CB 1m,,,3/20/2024,Anions,Cl,0.27,mg/L,0.01,Shimadzu HIC-ESP,ELA-ClSO4,shavens,7/23/2024 2:00:00 AM,
