Sample ID,Site,Date Collected,Test,Parameter,Result,Units,Rep. Limit,Instrument,Method,Analyst,Analysis Date,Order ID,Matrix,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Absorbance scan,A254,44.6782,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Absorbance scan,E2:E4,21.4444,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Absorbance scan,E2:E3,6.0313,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Absorbance scan,S350-400,0.0185,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,1
2023011502-01,239 LA CB 1m,01-16-2023,Absorbance scan,S275-295,0.0191,,0,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Absorbance scan,SR,1.031,,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Absorbance scan,SUVA,0.0706,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer,ELA-Absorbance scan,bcooney,01-24-2023 00:00,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Alk,Alk,175.7,µEq/L,,MANTECH MT-100,ELA-MT100,shavens,01-16-2023 00:00,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Anions,Cl,0.22,mg/L,0.05,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Anions,SO4,1.7,mg/L,0.11,Shimadzu HIC-ESP,ELA-ClSO4,shavens,08-28-2023 00:00,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Cations,Ca,,mg/L,,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Cations,Fe,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Cations,K,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Cations,Mg,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Cations,Mn,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Cations,Mo,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Cations,Na,,mg/L,0,4210 Microwave Plasma Atomic Emission Spectrometer,ELA-Cations,,,2023011502,Lake Water,,,,
2023011502-01,239 LA CB 1m,01-16-2023,Chla,Chla,1.12,µg/L,0.5,Turner Designs Trilogy Fluorometer,ELA-Chla,eloewen,07-07-2023 00:00,2023011502,Lake Water,,,,
