dataset_code,dataset_name,project_code,project_name,profile_id,profile_depth_id,monitoring_location_name,date,time_sample,depth_m,depth_bin_m,temp_c,oxygen_mg_l1,oxygen_saturation_pct,cond_us_cm1,cond_spec_us_cm1,chla_ug_l1,gear_type_code,gear_type_desc,optode,method_sample_code,method_sample_desc,qa_level,collected_by,researcher_code,researcher_name,qualifiers,comments,update_date,account,version
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-01-18],[114 LA CB] [2023-01-18] [Depth: 0.538 m],114 LA CB,2023-01-18,10:29:25,0.538,0.5,2.484,5.825,,9.52,17,,RBR1,RBR #1 XRX620 Serial No 18018,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-01-18],[114 LA CB] [2023-01-18] [Depth: 1.036 m],114 LA CB,2023-01-18,10:31:13,1.036,1,3.765,1.968,,11.81,20,,RBR1,RBR #1 XRX620 Serial No 18018,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-01-18],[114 LA CB] [2023-01-18] [Depth: 1.5 m],114 LA CB,2023-01-18,10:32:11,1.5,1.5,4.037,1.179,,12.32,21,,RBR1,RBR #1 XRX620 Serial No 18018,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-01-18],[114 LA CB] [2023-01-18] [Depth: 1.966 m],114 LA CB,2023-01-18,10:33:04,1.966,2,4.15,0.843,,12.48,21,,RBR1,RBR #1 XRX620 Serial No 18018,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-01-18],[114 LA CB] [2023-01-18] [Depth: 2.497 m],114 LA CB,2023-01-18,10:34:19,2.497,2.5,4.253,0.628,,12.75,21,,RBR1,RBR #1 XRX620 Serial No 18018,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-01-18],[114 LA CB] [2023-01-18] [Depth: 3.006 m],114 LA CB,2023-01-18,10:35:19,3.006,3,4.383,0.403,,14.08,23,,RBR1,RBR #1 XRX620 Serial No 18018,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-03-13],[114 LA CB] [2023-03-13] [Depth: 0.517 m],114 LA CB,2023-03-13,15:05:03,0.517,0.5,3.065,1.011,,14.59,25,2,RBR2,RBR #2 XRX620 Serial No 18033,249,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-03-13],[114 LA CB] [2023-03-13] [Depth: 1.034 m],114 LA CB,2023-03-13,15:06:07,1.034,1,3.998,0.506,,16.05,27,2,RBR2,RBR #2 XRX620 Serial No 18033,249,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-03-13],[114 LA CB] [2023-03-13] [Depth: 2.014 m],114 LA CB,2023-03-13,15:07:16,2.014,2,4.691,0.309,,24.21,40,1,RBR2,RBR #2 XRX620 Serial No 18033,249,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-03-13],[114 LA CB] [2023-03-13] [Depth: 3.036 m],114 LA CB,2023-03-13,15:08:23,3.036,3,4.973,0.23,,34.71,56,12,RBR2,RBR #2 XRX620 Serial No 18033,249,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
