dataset_code,dataset_name,project_name,monitoring_location_name,year,date,start_time,sample_num,profile_id,air_temperature,wind_speed_lower,wind_speed_upper,wind_direction,cloud_cover,water_colour_secondary,water_colour_dominant,field_epilimnion,calculated_epilimnion,false_epilimnion,secchi_depth,plan_therm_depth,epi_sample_start,epi_sample_end,met_sample_start,met_sample_end,wave_height_upper,wave_height_lower,epi_end_defn,chem_profile_done,method_sample_code,method_sample_desc,gear_type_code,gear_type_desc,collection_authority_userid,collected_by,comments,update_date,account,version
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-01-18,10:20,,,-14.0,,,,10,,,,,,,,,,,,,,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR1,RBR #1 XRX620 Serial No 18018,SandilandsK,LEH-MH,samples collected on end of metre stick,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-03-13,14:53,,,0.0,,,,0,,,,,,,,,,,,,,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,PMF-MH,zoop abundance 0-2 m 2 hauls. 1 m sample with metre stick,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-05-17,08:27,,[114 LA CB] [2023-05-17],12.5,3.3,8.1,W,7,Brown,Yellow,2.50,2.50,,2.25,3.38,0.00,2.00,2.50,4.00,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,PFM-E,"High altitude smoke
Hit bottom before getting 1% light",2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-05-30,08:26,,[114 LA CB] [2023-05-30],23.2,0.0,11.1,WNW,8,Yellow,Brown,2.75,2.77,,2.00,3.38,0.00,2.25,3.25,4.00,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,MEZ-A,Hit bottom before 1% light,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-06-13,07:57,,[114 LA CB] [2023-06-13],22.1,,,,0,Yellow,Green,3.00,3.76,3.05,2.25,4.14,0.00,2.50,3.00,4.00,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,PFZ-A,,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-06-27,09:17,,[114 LA CB] [2023-06-27],18.6,0.0,1.5,N,10,Yellow,Green,,2.01,,2.25,2.12,0.00,3.50,,,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,PF-KS,"false epi shown in temperature data
no meta sample ",2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-07-11,08:00,,,14.7,7.8,11.9,W,2,pale,Yellow,,,,1.75,,0.00,4.00,,,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,LNT-ME,No metalimnion present. ,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-07-25,09:15,,[114 LA CB] [2023-07-25],21.8,3.0,6.6,W,10,Green,Brown,3.25,3.52,,2.50,3.88,0.00,2.75,3.25,3.75,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,LNT-PF,,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-08-09,09:45,,[114 LA CB] [2023-08-09],18.9,2.5,9.8,WSW,8,Green,Yellow,4.25,4.01,,2.50,4.25,0.00,3.75,,,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,PF-ZA,thermal epi recorded here as 4.25 but last recorded stable temperature in field book was 4.  ,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-08-22,09:16,,,16.6,5.5,9.0,N,10,Yellow,Green,,,,2.50,,0.00,3.50,,,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,KS-ME,,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-09-06,13:35,,,16.5,3.9,7.0,NNW,10,Yellow,Green,,,,1.75,,0.00,3.50,,,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,KS-LM,,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-09-19,08:50,,,16.5,0.0,9.8,W,5,pale,Green,,,,1.50,,0.00,4.00,,,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,ME-KS,No meta therefore meta sample wasn't taken. 1% light wasn't reached before the bottom at 4.5.,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-10-04,09:48,,[114 LA CB] [2023-10-04],13.0,1.6,7.6,WSW,10,Green,Yellow,4.00,3.99,,2.25,4.13,0.00,3.50,,,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,PF-ME,,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2023,2023-10-31,10:08,,,0.0,1.2,4.6,W,9,Yellow,Green,,,,2.00,,0.00,4.00,,,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,LM-ME,Ice along the shallow areas near shore. Zoop samples not taken at the stations that were frozen. Epi sample taken as close to bottom as possible. ,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-01-08,16:12,,,-11.0,,,,10,,,,,,,,,,,,,,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,LEH-KS,1 m sample collected on end of shovel handle,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-03-20,09:47,,,-17.0,,,,0,,,,,,,,,,,,,,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,PMF-AG,collected 1 m sample using metre stick,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-05-07,09:13,,[114 LA CB] [2024-05-07],14.5,10.0,15.0,N,8,Yellow,Green,3.25,3.23,0.65,2.75,3.61,0.00,2.75,3.25,3.75,10,5,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,KS-PF,Meta to 3.75 to avoid mud,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-05-21,09:40,,,15.2,4.3,7.1,NNE,10,pale,Yellow,4.00,,,2.25,,0.00,3.50,,,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,KS-TD,No meta sample taken - too shallow,2025-02-18,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-06-05,13:07,,[114 LA CB] [2024-06-05],21.0,10.3,2.3,SW,4,Green,Yellow,2.00,2.01,0.64,1.75,2.14,0.00,1.50,2.00,4.00,10,5,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,KS-PF,Sampled today due to a thunderstorm yesterday,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,114 LA CB,2024,2024-06-13,13:03,,[114 LA CB] [2024-06-13],,,,,,,,,1.50,,,1.63,,,,,,,,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,hydrolim crew,"Thermocline, thermal epilimnion, and false epilimnion depths were calculated using FME workbench and the profile associated with the profile_id column.",2025-03-14,iyaktubay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-06-17,10:06,,[114 LA CB] [2024-06-17],16.6,1.6,5.3,W,,Yellow,Brown,4.25,4.26,,3.00,4.39,0.00,4.00,,,10,5,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,PF-TD,,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-07-02,10:28,,[114 LA CB] [2024-07-02],17.1,1.8,9.8,W,10,Orange,Yellow,,0.95,,1.75,1.04,0.00,4.25,,,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,KS-TD,,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,114 LA CB,2024,2024-07-11,08:09,,[114 LA CB] [2024-07-11],,,,,,,,,1.53,,,1.58,,,,,,,,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,hydrolim crew,"Thermocline, thermal epilimnion, and false epilimnion depths were calculated using FME workbench and the profile associated with the profile_id column.",2025-03-14,iyaktubay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-07-16,09:13,,[114 LA CB] [2024-07-16],19.5,0.0,4.4,NW,9,Orange,Yellow,3.00,3.01,,2.00,3.38,0.00,2.50,3.00,3.75,,,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,KS-PF,,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-07-30,08:56,,[114 LA CB] [2024-07-30],23.2,,,,0,Green,Yellow,3.25,3.25,1.02,2.25,4.40,0.00,2.75,3.25,4.00,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,KS-LNT,,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-08-13,09:20,,[114 LA CB] [2024-08-13],25.1,,,,0,Green,Yellow,2.00,1.65,,3.00,1.83,0.00,1.50,2.00,3.50,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,LNT-AG,,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-08-27,09:10,,[114 LA CB] [2024-08-27],17.7,6.6,11.2,N,8,Green,Yellow,3.75,3.75,0.99,2.50,4.13,0.00,3.25,3.75,4.00,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,KS-CM,,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-09-10,09:45,,[114 LA CB] [2024-09-10],22.1,4.2,9.6,SW,8,Yellow,Green,,2.76,0.65,2.75,2.89,0.00,4.00,,,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,KS-EB,,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-09-24,09:21,,[114 LA CB] [2024-09-24],14.9,3.4,9.4,W,9,Yellow,Green,,0.49,,3.25,0.57,0.00,3.75,,,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,PF-AS,Downloaded temperature logger and swapped in a new one due to battery issues,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-10-08,09:22,,[114 LA CB] [2024-10-08],9.4,,,,1,Green,Yellow,,0.95,,3.25,1.05,0.00,4.00,,,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,PF-KN,,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,114 LA CB,2024,2024-10-28,08:21,,[114 LA CB] [2024-10-28],7.5,0.0,6.4,WNW,3,Green,Yellow,,2.11,,3.00,2.30,0.00,4.00,,,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,LNT-TD,,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-01-18,09:24,,,-14.0,,,,10,,,,,,,,,,,,,,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,LEH-PF,samples @9.75m. abund 0 - 8.25 m. CG collected water @ 8 m,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-03-15,10:00,,,-2.0,,,,9,,,,,,,,,,,,,,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,LDH-PF,"mystery 2 m hump, hit ""bottom"" at 7.5 m near Cb, moved over to sample to true bottom at 9.5 m. sample taken at 9.5m",2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-05-15,13:28,,[227 LA CB] [2023-05-15],24.8,1.9,6.0,SW,0,Brown,Yellow,0.75,0.76,,1.25,1.12,0.00,0.25,0.75,4.00,0,0,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,PFM-E,High altitude smoke,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-05-31,07:41,,[227 LA CB] [2023-05-31],24.5,,,,0,Green,Yellow,1.25,1.28,0.05,1.75,2.41,0.00,0.75,1.25,5.00,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,LNT-KS,,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-06-14,08:15,,[227 LA CB] [2023-06-14],10.0,2.4,11.1,NNE,10,Brown,Yellow,1.75,1.76,,0.50,1.88,0.00,1.25,1.75,2.00,5,1,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,PFM-E,smoky ,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-06-28,08:27,,[227 LA CB] [2023-06-28],19.0,1.7,4.9,N,8,Yellow,Brown,1.75,1.51,,1.00,2.61,0.00,1.25,1.75,3.00,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,ZA-ME,Old PAR meter was used.  Paula's samples were taken. ,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-07-11,08:36,,[227 LA CB] [2023-07-11],16.6,3.9,7.4,NW,1,Brown,Yellow,2.00,1.97,,2.00,2.63,0.00,1.50,2.00,4.00,5,1,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,PF-KS,"Par Sensor #: 2045
third sampler: ZA",2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-07-26,08:31,,[227 LA CB] [2023-07-26],23.3,3.3,9.8,NE,0,Yellow,Brown,1.50,1.47,,1.00,3.38,0.00,1.00,1.50,5.00,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,LNT-ME,1% light from PAR meter,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-08-09,13:18,,[227 LA CB] [2023-08-09],17.6,2.2,10.3,N,8,Brown,Yellow,2.00,2.02,,1.00,2.89,0.00,1.50,2.00,4.00,5,1,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,LNT-KS,,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-08-23,08:30,,,16.1,,,,10,Brown,Yellow,2.25,,,1.00,,0.00,1.75,2.25,4.00,0,0,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,ME-PF,"RBR data missing for this date, redone on August 24 - match this field obs with August 24 RBR data",2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,227 LA CB,2023,2023-08-24,09:28,,[227 LA CB] [2023-08-24],,,,,,,,2.25,2.25,,,3.14,,,,,,,,,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,hydrolim crew,Thermocline and thermal epilimnion depth were calculated using FME workbench and the profile associated with the profile_id column.,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-09-06,14:00,,[227 LA CB] [2023-09-06],13.7,8.5,12.1,NE,10,Brown,Yellow,2.50,2.50,,1.50,3.40,0.00,2.00,2.50,4.00,5,1,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,PF-BP,,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-09-20,08:23,,[227 LA CB] [2023-09-20],17.1,1.7,6.4,SSE,1,Yellow,Green,2.00,2.00,,1.00,3.88,0.00,1.50,2.00,4.00,5,1,,No,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,ME-LM,,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-10-04,13:36,,[227 LA CB] [2023-10-04],12.4,1.2,10.5,SW,10,Brown,Yellow,2.75,1.76,1.08,0.75,4.11,0.00,2.25,2.75,4.00,5,1,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,LM-ME,,2025-03-14,iyaktubay,3
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2023,2023-10-31,13:20,,,-2.3,2.3,4.2,W,9,Brown,Yellow,,,,0.75,,0.00,3.00,,,0,0,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR2,RBR #2 XRX620 Serial No 18033,SandilandsK,PF-KS,1% light taken with PAR meter. Epi sampled to 1% instead of temperature difference.  ,2024-04-24,chay,1
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2024,2024-01-09,10:01,,[227 LA CB] [2024-01-09],-12.0,,,,10,,,,0.51,,,0.60,,,,,,,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,LDH-PF,10 m sample collected at 9.5 m. ,2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2024,2024-03-19,09:28,,[227 LA CB] [2024-03-19],-8.0,,,,10,,,,0.13,,,0.14,,,,,,,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR4,RBR #4 Maestro^3 Serial No 211417,SandilandsK,LEH-PF,"sampled 10 m at 9.5 m. Lots of extra water for Paula R and Sonya (2 L @ 0, 4, 6 m; 8 L @ 9.5 m, plus 500 mL at each normal depth).",2025-03-14,iyaktubay,2
GC1,FIELD OBSERVATIONS (FIELD CREW) - ELA,,227 LA CB,2024,2024-05-06,08:40,,[227 LA CB] [2024-05-06],15.8,4.3,12.9,SE,0,Yellow,Brown,1.00,1.03,,1.00,1.64,0.00,0.50,1.00,4.00,5,1,,Yes,X03,"FIELD OBSERVATION PROCEDURES, 1993 ONWARD - ELA",RBR3,RBR #3 Maestro^3 Serial No 211416,SandilandsK,LNT-PF,First few depths had surface par shaded. RBR3 not streaming. Collected profile samples and zooplankton. Returned for E/M and RBR at 15:20 CST. Lots of wood frogs calling around the lake!,2025-03-14,iyaktubay,2
